Vehicles,Hour,DayOfWeek,Month,Junction_2,Junction_3,Junction_4
15,0,6,11,0.0,0.0,0.0
13,1,6,11,0.0,0.0,0.0
10,2,6,11,0.0,0.0,0.0
7,3,6,11,0.0,0.0,0.0
9,4,6,11,0.0,0.0,0.0
6,5,6,11,0.0,0.0,0.0
9,6,6,11,0.0,0.0,0.0
8,7,6,11,0.0,0.0,0.0
11,8,6,11,0.0,0.0,0.0
12,9,6,11,0.0,0.0,0.0
15,10,6,11,0.0,0.0,0.0
17,11,6,11,0.0,0.0,0.0
16,12,6,11,0.0,0.0,0.0
15,13,6,11,0.0,0.0,0.0
16,14,6,11,0.0,0.0,0.0
12,15,6,11,0.0,0.0,0.0
12,16,6,11,0.0,0.0,0.0
16,17,6,11,0.0,0.0,0.0
17,18,6,11,0.0,0.0,0.0
20,19,6,11,0.0,0.0,0.0
17,20,6,11,0.0,0.0,0.0
19,21,6,11,0.0,0.0,0.0
20,22,6,11,0.0,0.0,0.0
15,23,6,11,0.0,0.0,0.0
14,0,0,11,0.0,0.0,0.0
12,1,0,11,0.0,0.0,0.0
14,2,0,11,0.0,0.0,0.0
12,3,0,11,0.0,0.0,0.0
12,4,0,11,0.0,0.0,0.0
11,5,0,11,0.0,0.0,0.0
13,6,0,11,0.0,0.0,0.0
14,7,0,11,0.0,0.0,0.0
12,8,0,11,0.0,0.0,0.0
22,9,0,11,0.0,0.0,0.0
32,10,0,11,0.0,0.0,0.0
31,11,0,11,0.0,0.0,0.0
35,12,0,11,0.0,0.0,0.0
26,13,0,11,0.0,0.0,0.0
34,14,0,11,0.0,0.0,0.0
30,15,0,11,0.0,0.0,0.0
27,16,0,11,0.0,0.0,0.0
27,17,0,11,0.0,0.0,0.0
24,18,0,11,0.0,0.0,0.0
26,19,0,11,0.0,0.0,0.0
29,20,0,11,0.0,0.0,0.0
32,21,0,11,0.0,0.0,0.0
30,22,0,11,0.0,0.0,0.0
27,23,0,11,0.0,0.0,0.0
21,0,1,11,0.0,0.0,0.0
18,1,1,11,0.0,0.0,0.0
19,2,1,11,0.0,0.0,0.0
13,3,1,11,0.0,0.0,0.0
11,4,1,11,0.0,0.0,0.0
11,5,1,11,0.0,0.0,0.0
11,6,1,11,0.0,0.0,0.0
14,7,1,11,0.0,0.0,0.0
15,8,1,11,0.0,0.0,0.0
29,9,1,11,0.0,0.0,0.0
33,10,1,11,0.0,0.0,0.0
32,11,1,11,0.0,0.0,0.0
32,12,1,11,0.0,0.0,0.0
29,13,1,11,0.0,0.0,0.0
27,14,1,11,0.0,0.0,0.0
